origen,destino,personas,tipo,nivel
011001,070201,72,nacimiento,municipio
011001,070502,19,nacimiento,municipio
011001,070603,5,nacimiento,municipio
011001,071001,21,nacimiento,municipio
011002,070101,152,nacimiento,municipio
011002,070102,13,nacimiento,municipio
011002,070103,2,nacimiento,municipio
011002,070104,28,nacimiento,municipio
011002,070105,4,nacimiento,municipio
011002,070201,6,nacimiento,municipio
011002,070502,5,nacimiento,municipio
011002,070603,1,nacimiento,municipio
011002,071001,5,nacimiento,municipio
011003,070101,469,nacimiento,municipio
011003,070102,38,nacimiento,municipio
011003,070103,1,nacimiento,municipio
011003,070104,52,nacimiento,municipio
011003,070105,12,nacimiento,municipio
011003,070201,28,nacimiento,municipio
011003,070502,10,nacimiento,municipio
011003,070603,2,nacimiento,municipio
011003,071001,17,nacimiento,municipio
011099,070101,858,nacimiento,provincia
011099,070102,54,nacimiento,provincia
011099,070103,8,nacimiento,provincia
011099,070104,145,nacimiento,provincia
011099,070105,30,nacimiento,provincia
011099,070201,59,nacimiento,provincia
011099,070502,14,nacimiento,provincia
011099,071001,11,nacimiento,provincia
019999,070101,17442,nacimiento,departamento
019999,070102,1203,nacimiento,departamento
019999,070103,176,nacimiento,departamento
019999,070104,3069,nacimiento,departamento
019999,070105,1304,nacimiento,departamento
019999,070201,1752,nacimiento,departamento
019999,070502,356,nacimiento,departamento
019999,070603,16,nacimiento,departamento
019999,071001,1086,nacimiento,departamento
020101,070101,21731,nacimiento,municipio
020101,070102,651,nacimiento,municipio
020101,070103,961,nacimiento,municipio
020101,070104,1042,nacimiento,municipio
020101,070105,81,nacimiento,municipio
020101,070201,1291,nacimiento,municipio
020101,070502,55,nacimiento,municipio
020101,070603,11,nacimiento,municipio
020101,071001,338,nacimiento,municipio
020102,070101,111,nacimiento,municipio
020102,070102,5,nacimiento,municipio
020102,070103,1,nacimiento,municipio
020102,070104,24,nacimiento,municipio
020102,070105,5,nacimiento,municipio
020102,070201,18,nacimiento,municipio
020102,070502,1,nacimiento,municipio
020102,071001,11,nacimiento,municipio
020103,070101,57,nacimiento,municipio
020103,070102,5,nacimiento,municipio
020103,070104,5,nacimiento,municipio
020103,070201,8,nacimiento,municipio
020103,071001,3,nacimiento,municipio
020104,070101,166,nacimiento,municipio
020104,070102,4,nacimiento,municipio
020104,070104,16,nacimiento,municipio
020104,070105,2,nacimiento,municipio
020104,070201,25,nacimiento,municipio
020104,071001,5,nacimiento,municipio
020105,070101,3590,nacimiento,municipio
020105,070102,193,nacimiento,municipio
020105,070103,23,nacimiento,municipio
020105,070104,376,nacimiento,municipio
020105,070105,46,nacimiento,municipio
020105,070201,577,nacimiento,municipio
020105,070502,14,nacimiento,municipio
020105,070603,3,nacimiento,municipio
020105,071001,127,nacimiento,municipio
020199,070101,17002,nacimiento,provincia
020199,070102,467,nacimiento,provincia
020199,070103,320,nacimiento,provincia
020199,070104,945,nacimiento,provincia
020199,070105,91,nacimiento,provincia
020199,070201,1376,nacimiento,provincia
020199,070502,38,nacimiento,provincia
020199,070603,5,nacimiento,provincia
020199,071001,338,nacimiento,provincia
020201,070101,334,nacimiento,municipio
020201,070102,24,nacimiento,municipio
020201,070104,34,nacimiento,municipio
020201,070105,2,nacimiento,municipio
020201,070201,61,nacimiento,municipio
020201,070502,6,nacimiento,municipio
020201,071001,13,nacimiento,municipio
020202,070101,83,nacimiento,municipio
020202,070102,8,nacimiento,municipio
020202,070103,1,nacimiento,municipio
020202,070104,10,nacimiento,municipio
020202,070105,2,nacimiento,municipio
020202,070201,19,nacimiento,municipio
020202,070502,2,nacimiento,municipio
020202,071001,1,nacimiento,municipio
